num_word,num_sentence,num_pos_words,num_neg_words,num_pos_followed_by_neg,first_person,second_person,third_person,num_proper_nouns,num_conjunctions,num_superlatives,num_hedges,num_boosts,num_numbers,num_quotes,num_consecutive_upper
146,7,2,0,0,0,0,2,18,7,0,9,1,0,0,1
122,4,0,1,1,1,0,2,10,2,1,7,2,1,1,1
705,28,3,2,2,2,3,8,100,23,1,21,7,24,1,1
705,26,5,3,3,23,3,58,37,22,2,37,8,8,1,1
173,7,1,1,0,6,0,9,24,5,0,10,0,1,1,1
93,5,0,0,0,2,0,3,14,3,0,5,3,3,1,1
130,6,0,0,0,0,0,8,8,3,1,3,1,1,1,0
687,24,1,4,1,27,1,46,30,18,0,33,4,3,0,1
169,4,3,1,0,6,0,7,31,6,0,5,0,8,1,1
84,4,0,0,0,1,0,4,13,5,0,2,0,4,1,1
164,8,1,0,1,1,0,9,13,2,0,7,1,8,0,1
707,44,1,7,3,32,2,45,61,30,2,39,3,4,1,1
89,4,0,0,0,1,0,1,8,3,0,1,0,3,1,0
36,5,1,0,0,3,0,3,2,1,0,1,0,1,0,0
105,4,1,1,0,2,0,2,17,1,1,1,2,0,1,1
142,4,4,1,1,1,0,9,11,5,0,9,0,1,0,0
162,7,0,0,0,8,2,5,23,6,0,16,3,1,0,1
186,5,4,1,1,3,0,8,13,6,0,11,1,1,0,1
240,7,3,0,0,5,0,8,64,7,0,3,0,4,0,1
191,9,0,1,0,4,1,17,19,4,0,10,3,4,0,1
504,27,1,5,2,14,1,23,52,23,2,28,8,3,1,1
430,19,0,4,1,3,0,5,41,10,0,9,1,19,1,1
76,3,2,0,1,1,0,4,10,1,0,0,0,1,1,0
713,32,10,12,9,4,0,22,64,21,2,22,4,3,1,1
533,25,2,3,3,11,0,19,34,14,0,20,4,11,1,1
98,4,0,0,1,1,0,0,21,6,0,6,0,4,1,0
123,5,0,1,2,1,0,2,27,3,0,1,0,3,1,1
211,6,0,0,0,3,1,9,14,7,1,7,2,5,0,1
171,4,2,10,4,0,0,10,10,4,0,5,2,9,1,1
371,14,1,1,0,4,0,14,50,11,0,12,1,4,0,1
144,6,2,3,0,1,0,12,9,4,0,2,0,1,1,1
838,60,10,5,0,49,2,85,58,23,1,61,2,5,1,1
254,5,0,14,2,1,0,14,11,10,1,7,2,3,0,0
329,14,2,0,2,12,0,13,29,16,0,15,4,10,1,1
85,4,0,3,1,3,0,1,4,3,0,8,0,2,1,3
97,3,0,0,0,0,1,0,21,3,0,1,1,1,1,0
230,8,4,2,1,6,0,6,7,11,0,6,0,1,0,1
606,24,3,8,5,9,2,28,29,22,1,35,1,6,1,1
655,29,4,0,1,22,3,26,21,13,4,26,4,6,1,1
119,8,0,4,0,2,1,3,4,2,0,7,2,8,0,1
606,31,7,0,1,17,6,31,52,19,2,35,6,2,1,1
124,8,0,2,1,2,0,4,18,3,0,1,0,11,0,1
592,39,8,0,1,28,7,30,65,18,1,39,3,8,1,1
525,28,8,0,2,2,0,7,37,15,5,17,1,9,1,1
621,26,5,3,4,9,1,24,12,15,2,21,2,5,1,1
134,5,1,1,1,1,0,11,8,4,1,0,0,3,0,0
177,6,3,1,1,0,0,1,33,2,0,2,1,8,0,0
99,4,3,2,1,4,0,8,11,2,1,2,1,4,1,1
812,27,13,0,2,24,6,46,58,37,1,21,9,12,0,1
125,5,0,1,0,0,0,2,10,4,2,9,3,5,1,0
122,9,6,0,1,5,0,3,13,3,0,8,0,6,1,0
